x1,x2,t
5.056365591,0.939336126,0
2.981938285,-79.9245571,0
4.665494722,-96.10795046,0
2.218880179,26.87492932,0
4.275081796,-81.30320021,0
0.227606971,43.8361029,0
5.979588531,120.7666495,0
2.867823995,-52.6389627,0
4.041485669,-85.74850891,0
4.708582125,-32.88734929,0
2.666744281,-18.76007093,0
4.771129367,-47.87308339,0
4.651236059,-59.88358917,0
4.647850633,-26.65510588,0
2.959831696,-40.72363416,0
2.16825453,39.31054688,0
2.33947344,0.843793105,0
4.012969542,-107.8959586,0
5.03661055,-22.43065682,0
2.361252393,11.31580532,0
0.977773866,98.93489984,0
4.209657409,-74.36436333,0
5.253750645,49.54019803,0
4.691747072,-18.74412631,0
4.531202889,-66.94561388,0
0.442857377,85.03415631,0
0.193427577,0.67922692,0
3.031194229,-63.68328625,0
1.411424793,118.007111,0
4.067508402,-88.08284903,0
0.279055426,6.647832071,0
6.020230209,91.82819648,0
0.157724031,51.17712317,0
3.820593185,-139.4362526,0
2.996989975,-64.90938245,0
4.221634433,-67.26194483,0
3.892438182,-87.44295589,0
0.8641217,79.8478755,0
0.260062451,21.91597482,0
2.24888337,-2.898510989,0
6.730706258,59.12923423,0
4.075542747,-80.24677671,0
4.16657376,-82.89291223,0
4.798490093,-68.36768136,0
0.776579553,91.10514593,0
6.99766235,64.74521782,0
6.344904598,80.97418114,0
3.349280516,-56.7628848,0
3.508445905,-110.2242053,0
3.304483263,-74.06024203,0
4.229170834,-118.1999964,0
2.095472513,42.81980956,0
0.246360718,56.64803952,0
5.552467435,58.16678486,0
4.985374484,22.64672706,0
3.452881576,-101.0965498,0
5.002281756,5.804243491,0
1.368556771,80.28816839,0
3.400277829,-78.06705211,0
2.21878854,68.61937753,0
6.341350856,114.8054412,0
1.076876585,117.4455132,0
1.856746515,30.45474253,0
0.17596772,0.659579614,0
6.928262231,85.27572683,0
3.085377418,-70.38283615,0
2.549586657,-21.46436986,0
3.610081877,-81.47278948,0
6.197410872,76.86055776,0
4.141763786,-112.5402981,0
2.344919985,2.510026916,0
2.857112926,-56.75899764,0
1.068906584,103.4831385,0
4.824885907,-24.47234745,0
2.1539169,42.73197696,0
6.613708769,67.35371187,0
0.834693336,106.44452,0
6.363364006,85.01134652,0
3.378228782,-79.07956865,0
6.328285917,70.97155084,0
5.25990661,0.452331659,0
4.067546049,-103.8629299,0
